School,Year,Games,Wins,Losses,Ties,Preseason Rank,Postseason Rank,Srs,Sp Overall,Sp Offense,Sp Defense,First Name,Last Name,Hire Date,bye
Ole Miss,2023,13,11,2,0,22,9,14,18.4,36.3,19.2,Lane,Kiffin,2019-12-07T00:00:00.000Z,
Oregon,2023,14,12,2,0,15,6,22.3,26.2,45,18.2,Dan,Lanning,2021-12-11T00:00:00.000Z,
Oregon State,2023,1,0,1,0,18,,15.3,12.6,33.2,22.3,Kefense,Hynson,,"0,8"
Oregon State,2023,12,8,4,0,18,,15.3,12.6,33.2,22.3,Jonathan,Smith,2017-11-29T00:00:00.000Z,"0,8"
Penn State,2023,13,10,3,0,7,13,22.8,23.5,32.7,10.5,James,Franklin,2014-01-11T00:00:00.000Z,
Pittsburgh,2023,12,3,9,0,,,-3.3,-7.3,19.3,26,Pat,Narduzzi,2014-12-16T00:00:00.000Z,
Purdue,2023,12,4,8,0,,,-1.9,-7.3,21.8,27.1,Ryan,Walters,,
Rice,2023,13,6,7,0,,,-4.3,-10.2,26,34.4,Mike,Bloomgren,2017-12-06T00:00:00.000Z,
Rutgers,2023,13,7,6,0,,,3.1,3.5,21,18.7,Greg,Schiano,2019-11-30T00:00:00.000Z,
Sam Houston,2023,12,3,9,0,,,-13.3,-13.8,16,28.8,K.C.,Keeler,,
San Diego State,2023,12,4,8,0,,,-9.8,-10.3,19.4,30.2,Brady,Hoke,2020-01-08T00:00:00.000Z,
San José State,2023,13,7,6,0,,,2.8,-3.4,28.1,29.5,Brent,Brennan,2016-12-07T00:00:00.000Z,
SMU,2023,14,11,3,0,,22,8.9,10.1,34.1,23,Rhett,Lashlee,2021-11-30T00:00:00.000Z,
South Alabama,2023,13,7,6,0,,,-0.8,5.1,30.6,26,Kane,Wommack,2020-12-12T00:00:00.000Z,
South Carolina,2023,12,5,7,0,,,2.7,4.3,28.2,25.6,Shane,Beamer,2020-12-06T00:00:00.000Z,
South Florida,2023,13,7,6,0,,,-10.5,-6.6,28.4,34.5,Alex,Golesh,,
Southern Miss,2023,12,3,9,0,,,-13.1,-14.4,23.5,36.4,Will,Hall,2020-12-02T00:00:00.000Z,
Stanford,2023,12,3,9,0,,,-5.5,-11.9,21.4,34.5,Troy,Taylor,,
